Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,521417587;0,346418852;0,011399723;0,013208164
2001014016;-0,485591691;0,395933069;0,014413448;0,011698864
2002028416;-0,467464077;0,467309057;0,015455643;0,009423842
2003043456;-0,416220019;0,519082307;0,013186751;0,010135859
2004058880;-0,37863696;0,566717796;0,015861968;0,006682937
2005074688;-0,32156011;0,609688989;0,018615091;0,005735055
2006091136;-0,25639234;0,628410117;0,020576399;0,004608116
2007108224;-0,191067775;0,66001251;0,019725425;0,001606672
2008125824;-0,109318945;0,682644266;0,02094344;0,001277644
2009143808;-0,029709816;0,682090294;0,023338426;-0,001490156
2010162304;0,044337548;0,674249421;0,022698586;-0,004892189
2011181312;0,123493832;0,669454488;0,02269578;-0,002277946
2012201088;0,186731719;0,644123575;0,024402908;-0,004267843
2013220992;0,259116013;0,615936172;0,020774515;-0,007116477
2014241664;0,316271444;0,582342131;0,019062278;-0,01319147
2015262848;0,384435629;0,55047557;0,019298459;-0,010656211
2016284416;0,452021652;0,486560506;0,022724139;-0,015994459
2017306752;0,508638817;0,419868503;0,021795176;-0,014117008
2018329344;0,550647239;0,352067414;0,018496369;-0,019923078
2019352704;0,586711429;0,301332016;0,017567992;-0,018912645
2020376448;0,622933775;0,220685721;0,017440751;-0,021340315
2021400704;0,644624395;0,175547586;0,016232714;-0,019572047
2022425472;0,676067359;0,084200782;0,019351162;-0,019441052
2023450624;0,687484547;0,024700055;0,017847616;-0,021673532
2024476544;0,688643817;-0,018566036;0,007941944;-0,020850333
2025502720;0,684776797;-0,081523136;0,013690838;-0,020847591
2026529536;0,678451215;-0,138177919;0,008284832;-0,021307029
2027557120;0,681257037;-0,196189888;0,006851465;-0,022465092
2028584960;0,680341185;-0,244697016;0,007621059;-0,021390077
2029613312;0,671583147;-0,295122297;0,008358019;-0,023265033
2030642304;0,655191391;-0,343215226;0,005311004;-0,023573648
2031671808;0,652389408;-0,40561623;0,001562008;-0,021375628
2032701696;0,626042334;-0,436100313;0,000655169;-0,023535755
2033732224;0,613720865;-0,468203994;-0,00303138;-0,021544603
2034763136;0,586657307;-0,50827621;-0,005926948;-0,017832904
2035794688;0,560011131;-0,537213425;-0,008128591;-0,015124276
2036826880;0,528424569;-0,550594931;-0,004881475;-0,017423518
2037859456;0,493280053;-0,576377782;-0,007355369;-0,013959501
2038892544;0,468546812;-0,599710619;-0,005917924;-0,012682366
2039926016;0,436995046;-0,625761823;-0,007492184;-0,008188509
2040960256;0,395937184;-0,641271152;-0,014712702;-0,007527554
2041995008;0,372199822;-0,662807974;-0,013999081;-0,007910088
2043030272;0,343970751;-0,676462685;-0,015562611;-0,007214162
2044065920;0,314861356;-0,677058987;-0,011212872;-0,006693378
2045102080;0,288001885;-0,68225535;-0,017664314;-0,000135899
2046139008;0,245672538;-0,686388279;-0,010102903;-0,002446847
2047176320;0,22842771;-0,69937936;-0,010262462;-0,000934607
2048214144;0,197548158;-0,705262351;-0,012142082;0,002473167
2049252480;0,157512647;-0,705819068;-0,014276478;0,002847455
