Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,577049276;0,28138882;0,041841375;-0,02210684
2001014016;-0,561787513;0,351389834;0,037343638;-0,021768988
2002028416;-0,53200275;0,41319886;0,037337731;-0,027495506
2003043456;-0,496175643;0,475098254;0,037811457;-0,031812845
2004058880;-0,456377824;0,535346752;0,036231301;-0,033187251
2005074688;-0,404418409;0,605031216;0,032975147;-0,031404764
2006091136;-0,348068651;0,657522263;0,034036821;-0,032414581
2007108224;-0,28492728;0,674471211;0,031100044;-0,041963797
2008125824;-0,205596554;0,709193202;0,025355467;-0,040354041
2009143808;-0,116266897;0,720217196;0,025674774;-0,045708742
2010162304;-0,035344393;0,712557573;0,023947983;-0,042075007
2011181312;0,042397088;0,706681077;0,022030947;-0,045140392
2012201088;0,12835525;0,703001422;0,016428037;-0,04418717
2013220992;0,195687113;0,67976219;0,015091816;-0,047883038
2014241664;0,266707037;0,657360477;0,007661621;-0,046177874
2015262848;0,337559531;0,61805215;0,005096585;-0,047395224
2016284416;0,409227855;0,566238375;0,000143981;-0,041821657
2017306752;0,48905518;0,502451677;-0,004201753;-0,043194218
2018329344;0,530717871;0,43893116;-0,006174944;-0,040379037
2019352704;0,577947584;0,359247573;-0,00660276;-0,042489149
2020376448;0,612303714;0,296538404;-0,007598145;-0,043079413
2021400704;0,653640313;0,221923327;-0,011057224;-0,035453619
2022425472;0,679289594;0,160119227;-0,01595057;-0,034049778
2023450624;0,700617092;0,082198991;-0,01885059;-0,02688498
2024476544;0,699980909;0,021434767;-0,01972086;-0,026969205
2025502720;0,718486539;-0,051394709;-0,0216;-0,024308132
2026529536;0,705432274;-0,091494996;-0,024782;-0,020971031
2027557120;0,708854444;-0,159228847;-0,023230139;-0,019590268
2028584960;0,702848104;-0,201261121;-0,027455713;-0,013923266
2029613312;0,696620485;-0,256327576;-0,029715024;-0,011874136
2030642304;0,688598779;-0,313894761;-0,029159418;-0,010795703
2031671808;0,678731336;-0,359270092;-0,032194168;-0,007762158
2032701696;0,662130967;-0,401496142;-0,028677195;-0,006708877
2033732224;0,642904973;-0,461164622;-0,028941778;-0,003393387
2034763136;0,609430591;-0,489196179;-0,031547306;-0,002057613
2035794688;0,582796654;-0,522170903;-0,034403856;0,004637949
2036826880;0,553594504;-0,543640656;-0,029911142;0,004477526
2037859456;0,528048235;-0,570553861;-0,03373722;0,010577293
2038892544;0,491041144;-0,597892555;-0,027582649;0,010759181
2039926016;0,459846567;-0,623160358;-0,023358947;0,014372162
2040960256;0,426311309;-0,640460974;-0,025325615;0,014450779
2041995008;0,394322139;-0,66152733;-0,024463819;0,015670149
2043030272;0,360154859;-0,680085544;-0,019962081;0,015122762
2044065920;0,332676524;-0,684521768;-0,01879449;0,016079239
2045102080;0,304763928;-0,691294248;-0,01446034;0,017872641
2046139008;0,279740895;-0,701690516;-0,014981615;0,020175368
2047176320;0,235175161;-0,698956609;-0,011438756;0,020955521
2048214144;0,215019927;-0,715087703;-0,010132833;0,020752164
2049252480;0,176675323;-0,720913561;-0,004285309;0,021330924
2050291328;0,144249488;-0,72702304;-0,00427413;0,022472783
2051330816;0,097663654;-0,7172781;-0,005352792;0,019386552
2052370816;0,062612899;-0,708166011;-0,002545159;0,021568928
2053411200;0,012590927;-0,69890219;0,004586615;0,025884014
2054452224;-0,030019182;-0,698379939;0,009040711;0,026206894
2055493888;-0,070635078;-0,686186202;0,002868578;0,022889966
2056535680;-0,1182933;-0,67853532;0,005922248;0,021335576
2057578368;-0,142450989;-0,674836855;0,004263025;0,019915909
2058621440;-0,176716514;-0,660772544;0,008143903;0,018136723
2059665152;-0,210522042;-0,655147542;0,011490516;0,016846401
2060709248;-0,25216808;-0,635058763;0,015252731;0,018021915
2061753984;-0,308325727;-0,608137736;0,014617981;0,017297053
2062799232;-0,352481939;-0,589506442;0,018459087;0,016190768
2063844864;-0,387831516;-0,563001587;0,013733802;0,012967954
2064891392;-0,423018931;-0,545635296;0,012017403;0,008955301
2065938048;-0,473890868;-0,524493838;0,012630136;0,005662057
2066985344;-0,488702671;-0,501999778;0,01352392;0,005989007
2068033280;-0,525466618;-0,482055833;0,014269337;0,001356491
2069081728;-0,562559179;-0,455669858;0,012862202;0,001244791
2070130560;-0,593331324;-0,428041684;0,014244874;0,001911909
2071180160;-0,638572289;-0,395956824;0,0186863;0,001398889
2072230144;-0,660813218;-0,358245439;0,016463277;0,004292924
2073280512;-0,685045122;-0,325546615;0,013451858;0,003676597
2074331776;-0,724169464;-0,288793315;0,01350773;0,000133387
2075383424;-0,735777812;-0,252730969;0,013290694;-0,003152295
2076435584;-0,756115561;-0,210990004;0,00904575;-0,008362802
2077488128;-0,755242892;-0,1679306;0,01280982;-0,004109888
2078541312;-0,78231265;-0,119165642;0,011603234;-0,00023535
2079595136;-0,796455643;-0,067587726;0,007588697;-0,00017586
2080649344;-0,819371245;-0,024285678;0,006077464;-0,000740276
2081704192;-0,82380778;0,016778877;0,004315396;-0,004258564
2082759424;-0,827080348;0,066686833;0,007350993;-0,001206226
2083815296;-0,804357308;0,113315005;0,008687961;6,94E-05
