Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,569727716;0,300802524;0,016233529;-0,034581895
2001014016;-0,539958825;0,353315147;0,017118215;-0,041288128
2002028416;-0,510618991;0,41201238;0,012417571;-0,04561328
2003043456;-0,466054992;0,473715636;0,012839616;-0,043248473
2004058880;-0,422093766;0,534911424;0,011441675;-0,041301627
2005074688;-0,369314666;0,586819357;0,009529467;-0,039702505
2006091136;-0,307049313;0,629993373;0,007181862;-0,039726831
2007108224;-0,247089671;0,666690437;0,00500724;-0,039903694
2008125824;-0,169886807;0,694211442;0,000695209;-0,040053893
2009143808;-0,096237822;0,707194791;0,000192003;-0,037047552
2010162304;-0,025160119;0,707561974;-0,004959617;-0,036301282
2011181312;0,059569304;0,713384405;-0,005749556;-0,034068994
2012201088;0,138237491;0,682897538;-0,008436947;-0,03104821
2013220992;0,200468175;0,649636654;-0,010188459;-0,032712492
2014241664;0,279399214;0,627689695;-0,014401332;-0,03421666
2015262848;0,346051709;0,589954657;-0,018308529;-0,031944613
2016284416;0,42789156;0,535679834;-0,019434141;-0,026363631
2017306752;0,474105202;0,496104274;-0,022213722;-0,020231904
2018329344;0,540742312;0,417674208;-0,021612616;-0,022012326
2019352704;0,567669209;0,373186434;-0,026070723;-0,016372935
2020376448;0,610437915;0,3007707;-0,024823294;-0,014406279
2021400704;0,63926154;0,21490033;-0,021933531;-0,012698534
2022425472;0,66925728;0,156402016;-0,020516631;-0,011237035
2023450624;0,695012003;0,082773119;-0,024598146;-0,002396469
2024476544;0,695852528;0,013610846;-0,021854866;-0,002549455
2025502720;0,689497044;-0,036145781;-0,025461625;-0,000159381
2026529536;0,70090715;-0,098267608;-0,023206418;-0,001271421
2027557120;0,706359827;-0,156959247;-0,023413027;0,003992668
2028584960;0,697714545;-0,203202032;-0,024397494;0,004158508
2029613312;0,692275849;-0,262976456;-0,024913396;0,006943258
2030642304;0,688718812;-0,311945953;-0,020578166;0,003654337
2031671808;0,668788692;-0,366157125;-0,019724475;0,007482701
2032701696;0,658846368;-0,402082431;-0,017696402;0,008716194
2033732224;0,627514745;-0,453196829;-0,016896849;0,012026954
2034763136;0,609667976;-0,482017216;-0,019131009;0,01180365
2035794688;0,57890017;-0,511763922;-0,018248338;0,014021864
2036826880;0,550688991;-0,535980648;-0,015208992;0,015592167
2037859456;0,519966449;-0,56625007;-0,00865637;0,015042922
2038892544;0,493657057;-0,59638513;-0,00819089;0,018644573
2039926016;0,448101459;-0,609820383;-0,00671358;0,018011888
2040960256;0,422157023;-0,645860455;-0,004387078;0,016640697
2041995008;0,385423429;-0,662781506;-0,005611359;0,015996599
2043030272;0,359240959;-0,663473715;-0,004796147;0,017086495
2044065920;0,324339824;-0,679945976;-0,000366425;0,017302733
2045102080;0,295272915;-0,675256317;-0,001104025;0,018555635
2046139008;0,270297;-0,685188947;0,005313988;0,015854875
2047176320;0,235238721;-0,692327173;0,008459806;0,0180185
2048214144;0,208166569;-0,705929324;0,007072675;0,014293347
2049252480;0,177505582;-0,708085123;0,006895972;0,014972551
2050291328;0,127353731;-0,708899197;0,011819639;0,017140791
2051330816;0,102534273;-0,711963081;0,011321212;0,016637871
2052370816;0,056430517;-0,703795353;0,014871029;0,014606503
2053411200;0,020316746;-0,692962752;0,014187442;0,015393581
2054452224;-0,031033343;-0,684227798;0,01202736;0,015584043
2055493888;-0,077318142;-0,677612338;0,0097893;0,013630666
2056535680;-0,11167353;-0,670539775;0,009760187;0,010203516
2057578368;-0,139882569;-0,65995228;0,01095017;0,011037352
2058621440;-0,164032027;-0,662320523;0,014785562;0,008419839
2059665152;-0,208866345;-0,643698996;0,01068794;0,005922924
2060709248;-0,255833498;-0,630162615;0,014903428;0,005866036
2061753984;-0,303167408;-0,604291879;0,013480128;0,005935756
2062799232;-0,339968779;-0,582044873;0,015526398;0,005444692
2063844864;-0,382160428;-0,552459362;0,011231272;0,002749395
2064891392;-0,415440879;-0,535433651;0,009182902;0,000326953
2065938048;-0,453340341;-0,509273702;0,008189674;-0,000430379
2066985344;-0,478655786;-0,498595339;0,011929836;-0,002291776
2068033280;-0,508077994;-0,477861949;0,011403514;-0,001927617
2069081728;-0,543202142;-0,453310248;0,01054714;-0,003752956
2070130560;-0,583462468;-0,420656192;0,012809642;-0,002967347
2071180160;-0,605131392;-0,386306894;0,014122366;0,001026071
2072230144;-0,635311953;-0,357676487;0,008629131;0,004070744
2073280512;-0,676272697;-0,32097127;0,006344551;0,000840499
2074331776;-0,68878227;-0,275973244;0,009663508;0,00043625
2075383424;-0,717198672;-0,25121278;0,010025276;0,000313198
2076435584;-0,727572518;-0,200560312;0,006675228;-0,001167268
2077488128;-0,750834584;-0,160544508;0,006488432;0,000397294
2078541312;-0,755596515;-0,114158004;0,00672878;0,005118124
2079595136;-0,771526076;-0,063523253;0,010648325;0,011807152
2080649344;-0,776923636;-0,024095985;0,004422718;0,008941236
2081704192;-0,776429383;0,023576498;0,010608044;0,014251451
2082759424;-0,784712085;0,076298698;0,004884239;0,007042414
2083815296;-0,778977451;0,115533684;0,00630416;0,007038013
2084871808;-0,765788555;0,174046015;0,004277085;0,007768881
2085928704;-0,769410761;0,227273643;0,005752782;0,006843233
2086986240;-0,745396177;0,280031236;0,004573472;0,009673841
2088044160;-0,701782056;0,341239846;0,004713958;0,01367525
2089102720;-0,682217094;0,393835466;0,007274308;0,013526456
2090161792;-0,647085275;0,452455237;0,007034083;0,006051913
2091221632;-0,60129564;0,490928309;0,006974418;0,006585814
2092281600;-0,560003963;0,529640217;0,006846888;0,007320902
2093342336;-0,467821873;0,581270316;0,01009362;0,012236815
2094403456;-0,417276618;0,61905831;0,006035946;0,008423141
2095465472;-0,347810897;0,646032109;0,005517113;0,010904122
2096527872;-0,277622074;0,666747967;0,004936438;0,012068454
2097590400;-0,217848804;0,711049702;0,005556854;0,006737722
2098654080;-0,131707365;0,717034971;0,005876218;0,009782592
2099717888;-0,043935148;0,737213959;0,006650796;0,006363556
2100782336;0,009087332;0,7354464;0,009172596;0,007166262
2101847424;0,100590763;0,739723252;0,004929165;0,007792461
2102912896;0,199454504;0,744247153;0,005770802;0,011449775
2103979136;0,267264843;0,725420586;0,003946445;0,010823653
2105045504;0,340751387;0,703183241;0,002754811;0,010895412
2106112768;0,409879191;0,670682434;0,003907442;0,009746977
2107180544;0,496623341;0,622491857;0,003453303;0,011317924
2108248704;0,524385747;0,603952651;0,004477571;0,008094208
2109317504;0,593185649;0,563819418;0,00030543;0,008379945
2110386816;0,626296183;0,521781395;0,000782059;0,006688372
2111456896;0,694078414;0,466684748;0,00141359;0,005062261
2112527104;0,709584022;0,415406096;0,001194205;0,003671835
