Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,522784135;0,33710407;0,034988797;0,017111529
2001014016;-0,493250017;0,391847267;0,03278875;0,012697011
2002028416;-0,469277252;0,443084605;0,033638827;0,007961826
2003043456;-0,436762744;0,50635513;0,034702222;0,001819006
2004058880;-0,382668518;0,543589332;0,031182995;-0,004117314
2005074688;-0,337811452;0,583672741;0,034827887;-0,000739658
2006091136;-0,290058705;0,638482435;0,032899713;-0,001017479
2007108224;-0,227069067;0,67044723;0,031369976;-0,008200741
2008125824;-0,152896157;0,671227869;0,030625994;-0,013237557
2009143808;-0,081118621;0,685907677;0,030595576;-0,015979082
2010162304;-0,008025233;0,688125137;0,029118631;-0,018125415
2011181312;0,060341807;0,676228519;0,027455949;-0,018659985
2012201088;0,140842707;0,662934986;0,02299673;-0,021803979
2013220992;0,188494456;0,653004113;0,021684251;-0,023962659
2014241664;0,257854305;0,616624049;0,017380715;-0,025774929
2015262848;0,325482874;0,588533155;0,014994216;-0,031783795
2016284416;0,379533605;0,53808007;0,008565984;-0,026485032
2017306752;0,45541986;0,469236409;0,007253009;-0,034002718
2018329344;0,50303254;0,410292888;0,007943387;-0,031660731
2019352704;0,533767754;0,352189241;-0,002098886;-0,027889545
2020376448;0,569554591;0,291856963;-0,00060056;-0,030132705
2021400704;0,60461813;0,230956722;-0,001270341;-0,031295027
2022425472;0,635549347;0,163154671;-0,007520324;-0,025908271
2023450624;0,651033339;0,089586883;-0,009440653;-0,02578031
2024476544;0,663426367;0,029448427;-0,010937606;-0,025062837
2025502720;0,669095551;-0,025861723;-0,014037956;-0,023955734
2026529536;0,666411185;-0,084208152;-0,015139551;-0,018883411
2027557120;0,653574942;-0,122792096;-0,020514092;-0,01599604
2028584960;0,662502457;-0,19090744;-0,018758428;-0,020641236
2029613312;0,651804981;-0,247963416;-0,020168686;-0,017187487
2030642304;0,656913573;-0,284743221;-0,025500653;-0,014372724
2031671808;0,642697351;-0,344613235;-0,023680042;-0,014438246
2032701696;0,623774453;-0,391445557;-0,02459718;-0,010183067
2033732224;0,604935087;-0,426843941;-0,026093354;-0,006965564
2034763136;0,591649979;-0,474368164;-0,027068488;-0,006138492
2035794688;0,554034774;-0,497607962;-0,0285042;-0,001815253
2036826880;0,531033033;-0,521845114;-0,026845937;-0,001093185
2037859456;0,500259186;-0,55096457;-0,026975551;0,001606685
2038892544;0,476568988;-0,5807669;-0,019875372;0,005430456
2039926016;0,441360486;-0,598358613;-0,016813955;0,006061873
2040960256;0,418703402;-0,623773355;-0,019055342;0,007330198
2041995008;0,385081452;-0,64671016;-0,018538249;0,007087498
2043030272;0,347930861;-0,653681284;-0,02224535;0,009434062
2044065920;0,313355719;-0,652489573;-0,022436052;0,011813547
2045102080;0,289445586;-0,667449977;-0,016246137;0,01236663
2046139008;0,261270101;-0,667851926;-0,015879811;0,01442185
2047176320;0,230591132;-0,681675045;-0,013978328;0,014080181
2048214144;0,204613938;-0,691830998;-0,010554126;0,013519865
2049252480;0,165648962;-0,697960637;-0,008228927;0,013172874
2050291328;0,129624935;-0,698738117;-0,00636226;0,015214893
2051330816;0,093410719;-0,698816684;-0,002698155;0,015792493
2052370816;0,058992824;-0,694607447;-0,004435979;0,019374921
2053411200;0,011470874;-0,686734403;0,002527775;0,019827955
2054452224;-0,030309681;-0,675110678;-0,000430215;0,0178486
2055493888;-0,083845896;-0,668396187;-0,003286335;0,016459251
2056535680;-0,120390457;-0,662228279;-0,001562019;0,013739144
2057578368;-0,152422261;-0,650231811;-0,00108881;0,012841647
2058621440;-0,178814732;-0,646593457;0,001757068;0,010152801
2059665152;-0,218612494;-0,637603537;0,000565669;0,008934509
2060709248;-0,271634953;-0,616354726;0,004073949;0,008065909
2061753984;-0,311228763;-0,598814901;0,006656915;0,01030531
2062799232;-0,358077379;-0,575307151;0,00443284;0,006035132
2063844864;-0,406076242;-0,54951742;0,005214957;0,004036804
2064891392;-0,436111518;-0,530890736;0,003074692;0,002357596
2065938048;-0,455539159;-0,515859285;0,003568073;0,00028784
2066985344;-0,487314059;-0,496242207;0,007098048;-0,002649029
2068033280;-0,524336506;-0,47742584;0,01142229;0,0010868
2069081728;-0,54929793;-0,450445959;0,006924383;-0,002476888
2070130560;-0,589326545;-0,418919008;0,006614418;-0,00413783
2071180160;-0,622176777;-0,391524521;0,005852109;-0,006106286
2072230144;-0,662574345;-0,359540595;0,008468709;-0,004780589
2073280512;-0,68922472;-0,325020728;0,005438522;-0,007125795
2074331776;-0,719560139;-0,288970884;0,003903822;-0,010105011
2075383424;-0,737175535;-0,254685274;0,00413121;-0,012737557
2076435584;-0,754748117;-0,215994385;0,008596557;-0,010569095
2077488128;-0,764712705;-0,163330701;0,006275356;-0,007719251
2078541312;-0,764623664;-0,114468138;0,005219781;-0,004445444
