Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,58589185;0,310594808;0,029656176;-0,012611708
2001014016;-0,568151926;0,380549505;0,027842824;-0,018568798
2002028416;-0,53202916;0,428135379;0,026640775;-0,02532111
2003043456;-0,501160802;0,488346299;0,022827979;-0,025595482
2004058880;-0,461150569;0,563982377;0,021363416;-0,027362946
2005074688;-0,410958663;0,621598098;0,020575202;-0,026214032
2006091136;-0,349528376;0,679113211;0,018195704;-0,024992029
2007108224;-0,289401952;0,694713391;0,020044233;-0,031606426
2008125824;-0,192172392;0,721964994;0,015788066;-0,032606545
2009143808;-0,111509813;0,732293636;0,013738249;-0,032466764
2010162304;-0,040402842;0,747256602;0,01216587;-0,033300612
2011181312;0,04578611;0,743383096;0,010148312;-0,03172592
2012201088;0,126588498;0,700990779;0,00693088;-0,034051686
2013220992;0,200036113;0,707025573;0,004303936;-0,037455814
2014241664;0,272090231;0,671659123;-0,0015156;-0,038672028
2015262848;0,354652401;0,64216993;-0,00395292;-0,033254585
2016284416;0,40592225;0,596900315;-0,007991891;-0,031839873
2017306752;0,482764935;0,528109488;-0,011769023;-0,02864204
2018329344;0,529475793;0,453326356;-0,014930256;-0,028348677
2019352704;0,573961318;0,379497434;-0,015951635;-0,024385792
2020376448;0,608170959;0,320988056;-0,017764164;-0,026717025
2021400704;0,652915857;0,233139252;-0,016416784;-0,021281007
2022425472;0,665950679;0,188176981;-0,02161948;-0,018826106
2023450624;0,703466717;0,104801536;-0,02340059;-0,014941963
2024476544;0,706744939;0,047047345;-0,025794529;-0,015026638
2025502720;0,706930154;-0,012039912;-0,028011681;-0,012584085
2026529536;0,709248725;-0,075178051;-0,025798634;-0,010295347
2027557120;0,70996658;-0,138068205;-0,027884491;-0,008385246
2028584960;0,700464822;-0,191450223;-0,024832304;-0,007667613
2029613312;0,703575415;-0,25919845;-0,026142493;-0,005764119
2030642304;0,686912292;-0,307375864;-0,030894113;-0,004047892
2031671808;0,676120653;-0,36101101;-0,027684863;-0,005408082
2032701696;0,6609178;-0,402015053;-0,024456409;-0,002943869
2033732224;0,634412402;-0,449144379;-0,028295741;0,000795387
2034763136;0,603452607;-0,474112641;-0,031387378;0,005222204
2035794688;0,578605205;-0,510357781;-0,03136487;0,008111753
2036826880;0,54621018;-0,527594646;-0,032017964;0,00984057
2037859456;0,518311381;-0,55660474;-0,028396738;0,010307553
2038892544;0,476084089;-0,584466698;-0,024566627;0,013100193
2039926016;0,458825668;-0,618357624;-0,02110898;0,011752226
2040960256;0,419009577;-0,645449679;-0,018752167;0,01523527
2041995008;0,383787818;-0,659158784;-0,019135021;0,015073858
2043030272;0,356959653;-0,669469063;-0,01918747;0,01473088
2044065920;0,330190052;-0,684271532;-0,02061648;0,016366224
2045102080;0,297086086;-0,683918831;-0,014141168;0,017784145
2046139008;0,265206567;-0,6908463;-0,010102546;0,017886741
2047176320;0,236116011;-0,693608644;-0,01504153;0,019301208
2048214144;0,19674837;-0,704729182;-0,013708079;0,018938655
2049252480;0,162752045;-0,713548626;-0,010488633;0,021688647
2050291328;0,126480612;-0,707635659;-0,010535315;0,019516527
2051330816;0,090893859;-0,717573649;-0,005299354;0,020030616
2052370816;0,045669964;-0,704104615;-0,003738985;0,02181756
2053411200;0,003599828;-0,694707836;-0,005159976;0,021411518
2054452224;-0,050162188;-0,685493568;-0,003400197;0,021356547
2055493888;-0,086803903;-0,673811918;-0,002057442;0,022486677
2056535680;-0,135624928;-0,669006135;-0,005344893;0,018354759
2057578368;-0,161093303;-0,667534949;-0,00289056;0,016676918
2058621440;-0,190759877;-0,661630014;0,001966771;0,01429817
2059665152;-0,226615412;-0,650355608;0,006166717;0,014857162
2060709248;-0,266097836;-0,632338609;0,008322839;0,013344359
2061753984;-0,311912241;-0,608006422;0,015538624;0,011997477
2062799232;-0,364923016;-0,584472281;0,013141965;0,015659876
2063844864;-0,399539104;-0,561380217;0,012448321;0,01009897
2064891392;-0,442684014;-0,537697473;0,006842061;0,006233679
2065938048;-0,468143009;-0,518617159;0,008744806;0,002939541
2066985344;-0,50165849;-0,501806387;0,00779153;0,002193438
2068033280;-0,547247509;-0,477041143;0,007312009;0,001279713
2069081728;-0,56674566;-0,455095887;0,011535349;0,001958895
2070130560;-0,61084729;-0,428927531;0,012082175;1,50E-05
2071180160;-0,642857788;-0,394474836;0,011800836;-0,001889351
2072230144;-0,671259144;-0,363216634;0,015321671;0,003718233
2073280512;-0,695246247;-0,318134895;0,011638214;0,001729089
2074331776;-0,720721022;-0,286711763;0,009381917;-1,11E-05
2075383424;-0,736873331;-0,250194315;0,011317956;-0,003751876
