Frequency;S11-S-Real;S11-S-Imaginary;S21-S-Real;S21-S-Imaginary
2,00E+09;-0,575430818;0,296081788;0,030005081;-0,021517647
2001014016;-0,553666573;0,356840871;0,027343152;-0,02723338
2002028416;-0,52696071;0,43218039;0,025459267;-0,032039986
2003043456;-0,496300012;0,495937096;0,025308459;-0,030845086
2004058880;-0,445337302;0,550020293;0,024713525;-0,034614971
2005074688;-0,395771999;0,594922362;0,022776352;-0,037088289
2006091136;-0,345638701;0,646879642;0,02317904;-0,030901075
2007108224;-0,282338881;0,686032005;0,019760637;-0,031695685
2008125824;-0,208146067;0,724142737;0,014197489;-0,037510415
2009143808;-0,115809545;0,728504635;0,013131815;-0,033907795
2010162304;-0,037208006;0,737901773;0,009923991;-0,037001053
2011181312;0,048182795;0,718524224;0,009234074;-0,038832916
2012201088;0,135952662;0,708300883;0,003576656;-0,034275515
2013220992;0,212308334;0,663523051;0,002322565;-0,036884849
2014241664;0,277541651;0,662258133;-0,000502021;-0,040512401
2015262848;0,346294788;0,60819863;-0,005380354;-0,038239208
2016284416;0,420966098;0,561317508;-0,008953817;-0,034802271
2017306752;0,485083325;0,510040785;-0,013639035;-0,030101593
2018329344;0,525524238;0,439222776;-0,012875409;-0,030293816
2019352704;0,583003863;0,362256654;-0,017464126;-0,02871903
2020376448;0,616031494;0,306439002;-0,018420521;-0,027837204
2021400704;0,648873409;0,245350755;-0,021521783;-0,022448827
2022425472;0,671790761;0,166869679;-0,022770126;-0,016536423
2023450624;0,695434109;0,09917793;-0,023545464;-0,017475095
2024476544;0,692387474;0,039986253;-0,025554603;-0,013714472
2025502720;0,699024475;-0,014175473;-0,026962809;-0,012408398
2026529536;0,700480923;-0,086724196;-0,026510786;-0,012043609
2027557120;0,70723959;-0,171712542;-0,023206378;-0,007394215
2028584960;0,703376415;-0,208280046;-0,024949153;-0,004919622
2029613312;0,692381323;-0,252972802;-0,026310464;-0,005598401
2030642304;0,687471688;-0,317414215;-0,028650538;-0,003635605
2031671808;0,677130842;-0,370411704;-0,027499638;-0,00331973
2032701696;0,665405088;-0,423152155;-0,023658107;-0,00233337
2033732224;0,634017195;-0,452613262;-0,02577429;0,002840019
2034763136;0,612392851;-0,491635224;-0,028146338;0,003610974
2035794688;0,581175353;-0,513862424;-0,026122295;0,005212674
2036826880;0,558413174;-0,546540807;-0,024764433;0,012048141
2037859456;0,516142533;-0,566622638;-0,01949512;0,011369757
2038892544;0,491197589;-0,597318479;-0,021810673;0,014747317
2039926016;0,451684924;-0,611586975;-0,018254298;0,014577817
2040960256;0,423130499;-0,643929994;-0,016159956;0,013459336
2041995008;0,386462828;-0,663870167;-0,014760564;0,016190351
2043030272;0,356880958;-0,675773349;-0,011256239;0,013135331
2044065920;0,328228167;-0,681876147;-0,014207853;0,016539379
2045102080;0,29592566;-0,687305177;-0,013685544;0,01761423
2046139008;0,264871437;-0,688715126;-0,009281791;0,018614047
2047176320;0,23972923;-0,700423201;-0,007139563;0,019088275
2048214144;0,195822971;-0,703838028;-0,005580475;0,019941382
2049252480;0,169439487;-0,713057354;-0,001464516;0,018483437
